name,mle,cilow,cihigh,areacutoff,nmutations,patient
wmis,1.2075152993268354,1.0117983845142091,1.4410906564240522,0.13,0,PD18003
wnon,1.9193006191755988,1.3873125319891082,2.655288395244423,0.13,0,PD18003
wspl,2.762489836800332,1.7675318631383548,4.31751769661183,0.13,0,PD18003
wtru,2.140824665965891,1.6188990254140578,2.8310167456155977,0.13,0,PD18003
wall,1.2898819818865335,1.0847139529587204,1.5338564813859719,0.13,0,PD18003
wmis,1.246371859912375,1.0622013917405932,1.4624748425869214,0.18000000000000002,0,PD18003
wnon,2.081272977311233,1.5634273398953893,2.7706418427963553,0.18000000000000002,0,PD18003
wspl,2.787769265145013,1.8711785441058089,4.1533489683108,0.18000000000000002,0,PD18003
wtru,2.269484084623174,1.7706949529543468,2.9087777099970538,0.18000000000000002,0,PD18003
wall,1.3377103832399841,1.1437532524786962,1.5645586716802766,0.18000000000000002,0,PD18003
wmis,1.2659670178064981,1.086567031066704,1.4749872252248473,0.23,0,PD18003
wnon,1.9817408471569309,1.5056137710984174,2.6084357493788857,0.23,0,PD18003
wspl,2.9564128607314184,2.024991560088031,4.316253546616346,0.23,0,PD18003
wtru,2.2301216731146494,1.7581588684799057,2.8287788811688523,0.23,0,PD18003
wall,1.3526109253907437,1.164490398425493,1.5711218555001794,0.23,0,PD18003
wmis,1.2718558157547746,1.0971554358675277,1.4743737880587386,0.28,0,PD18003
wnon,2.0113382256085934,1.5441343020579594,2.6199025903398896,0.28,0,PD18003
wspl,2.9695966199580988,2.069216651920427,4.261759674648939,0.28,0,PD18003
wtru,2.2595602716638576,1.797828295035934,2.8398777766369494,0.28,0,PD18003
wall,1.3601827022050303,1.1767609484357593,1.5721944085900106,0.28,0,PD18003
wmis,1.2913410087401853,1.1161110898288529,1.4940820999366895,0.33000000000000007,0,PD18003
wnon,2.0655163280369364,1.593384191843994,2.6775448904446653,0.33000000000000007,0,PD18003
wspl,3.0475453199300726,2.1398296557419045,4.340313936722028,0.33000000000000007,0,PD18003
wtru,2.3208258344241144,1.8541361909745715,2.904982158241178,0.33000000000000007,0,PD18003
wall,1.3824368429133416,1.1981938678510502,1.5950103534345441,0.33000000000000007,0,PD18003
wmis,1.3305078474903098,1.1516521271380225,1.53714050494793,0.38,0,PD18003
wnon,2.120923713105618,1.6400838018510704,2.7427363112401473,0.38,0,PD18003
wspl,3.002865356343979,2.1097868258367565,4.273986470057024,0.38,0,PD18003
wtru,2.3525533021192966,1.8824137412494604,2.940111898906376,0.38,0,PD18003
wall,1.4197745164917874,1.232167488142997,1.6359461656608434,0.38,0,PD18003
wmis,1.334662756995217,1.1566443693699786,1.54007983964886,0.43000000000000005,0,PD18003
wnon,2.1082479166726498,1.6342515540412828,2.7197216163958378,0.43000000000000005,0,PD18003
wspl,3.026800838847129,2.13508033628816,4.290950163483311,0.43000000000000005,0,PD18003
wtru,2.348082941508184,1.8828226314774839,2.9283127406829563,0.43000000000000005,0,PD18003
wall,1.4234813497456884,1.2368414714950775,1.638285261105001,0.43000000000000005,0,PD18003
wmis,1.3398237395965924,1.1615803136778238,1.5454184545387313,0.48,0,PD18003
wnon,2.194039784237789,1.7064202964388693,2.8209993662546977,0.48,0,PD18003
wspl,3.1570931978246155,2.2393201377475296,4.451010506151312,0.48,0,PD18003
wtru,2.4460268596808827,1.9666930681029837,3.0421866509406064,0.48,0,PD18003
wall,1.4365663659119472,1.2487695421835894,1.6526051076332688,0.48,0,PD18003
wmis,1.3505036312791319,1.17190471607177,1.5563211181636922,0.53,0,PD18003
wnon,2.172143687453223,1.6921713310323816,2.78825678725117,0.53,0,PD18003
wspl,3.0863345635325725,2.1900761449996264,4.349374362989291,0.53,0,PD18003
wtru,2.4109987525071794,1.9408577925449977,2.995023647234271,0.53,0,PD18003
wall,1.4442497709411601,1.256535878194134,1.6600062418124841,0.53,0,PD18003
wmis,1.3503430504965739,1.1720935895313003,1.555700304404488,0.5800000000000001,0,PD18003
wnon,2.1977844884291913,1.7148931274843005,2.8166517085912,0.5800000000000001,0,PD18003
wspl,3.0864209042248674,2.1903425426635876,4.3490886984517365,0.5800000000000001,0,PD18003
wtru,2.4290122563827605,1.957194423876323,3.01457048399526,0.5800000000000001,0,PD18003
wall,1.4459233213204836,1.2583587901342446,1.6614452630917915,0.5800000000000001,0,PD18003
wmis,1.3588817476411141,1.1799889774440824,1.5648956383235995,0.6300000000000001,0,PD18003
wnon,2.2202950766923926,1.7338015262227495,2.843295586620181,0.6300000000000001,0,PD18003
wspl,3.066867111277366,2.1776798608121517,4.3191260788566925,0.6300000000000001,0,PD18003
wtru,2.442132160489186,1.9689048002789549,3.029099979059728,0.6300000000000001,0,PD18003
wall,1.4547169083088565,1.2664961417262635,1.6709101698764333,0.6300000000000001,0,PD18003
wmis,1.3573815381537027,1.1790056769724289,1.5627445025131954,0.68,0,PD18003
wnon,2.2426110281997347,1.7526432517176442,2.8695538689201,0.68,0,PD18003
wspl,3.0639128291677897,2.1758127323101775,4.3145081768005324,0.68,0,PD18003
wtru,2.4580994812433925,1.982799184953792,3.04733485142614,0.68,0,PD18003
